grid_id,lon,lat,landcover_class,lc_pct_10,lc_pct_20,lc_pct_30,lc_pct_40,lc_pct_50,lc_pct_60,lc_pct_70,lc_pct_80,lc_pct_90,lc_pct_95,lc_pct_100,forest_pct,forest_area_km2,population_total,land_area_km2,nightlight_mean,nightlight_p90,cell_area_km2,land_fraction
-32.0_68.0,-32.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,16.300152635012278,41.99438860494126,39.80505785563652,0.0,0.0,1.900400904409944,0.0,0,0.0,693.0098403700956,1.1377966667360144,1.2561556416991595,1145.4093202470328,0.6050324788876632
-32.0_68.5,-32.0,68.5,70.0,0.0,0.0,0.0,0.0,0.0,1.213530575232703,98.4641925067457,0.2578215344172791,0.0,0.0,0.06445538360431978,0.0,0,0.0,1123.623036356127,1.1885644809987184,1.2555782966251738,1120.3117735666947,1.0
-32.0_69.0,-32.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1104.8717248102905,1.1734402836194804,1.213868008341108,1095.1289188455212,1.0
-32.0_69.5,-32.0,69.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1077.0241175216893,1.1458314114025536,1.1792718967890032,1069.8626737487946,1.0
-32.0_70.0,-32.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1051.6005503106614,1.1038125571001385,1.1313032108258874,1044.5149622870638,1.0
-32.0_70.5,-32.0,70.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1026.0916481351685,1.0404323372675572,1.0786781162023544,1019.0877146692493,1.0
-32.0_71.0,-32.0,71.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1002.6609378740216,1.0557750626368225,1.0787513279175576,993.5828671562376,1.0
-32.0_71.5,-32.0,71.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,974.7715027623774,1.0167886750281463,1.0437202840844846,968.0023619129934,1.0
-32.0_72.0,-32.0,72.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,949.0182410550224,0.9871037643294178,1.0082428452315606,942.3481468612445,1.0
-32.0_72.5,-32.0,72.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,925.1799520811308,0.9496300277840923,0.9828907177345496,916.622175530791,1.0
